Object_ComplaintNo,Object_ObjectNumber,ObjectType,Position,SafetyEquip,InjuryLevel,Age,Sex,DirectionOfTravel,ObjectID,DriverAction,LightConditionsA,LightConditionsB,TrafficControlDev,TrafficControlCond,PedestrianAction,ContribRoadCond,ContribVehCond,UnsafeSpeed,DriverPedCondition,PrimaryEvent,StartMonth,StartDay,StartTime,Severity,VehicleCount,InjuredCount,FatalityCount,HitRunFlag,SurfaceConditions,EnvironConditions,DamageGE1000,SpecialFacility,RoadAlignA,RoadAlignB,RoadClass,CollLocation,Address
96007092,01,2,12,08,MINOR INJURY,021,F,S,07,00,03,02,02,01,02,00,00,00,,01,199601,11,1742,02,1,1,0,2,01,01,*,01,01,01,01,02,2 ST SW & 4 AV SW
96007643,02,2,12,99,MINOR INJURY,019,F,,07,00,01,01,02,01,01,00,00,00,,01,199601,12,1320,02,1,1,0,2,02,01,NO,01,01,01,02,02,RUNDLEHORN DR NE & 52 ST NE
96007668,02,2,12,08,MINOR INJURY,017,F,,07,00,01,00,01,00,03,00,00,00,,01,199601,12,1355,02,1,1,0,2,03,01,NO,09,01,01,02,01,1019 1 ST NW
96007842,02,2,12,08,MINOR INJURY,028,F,,07,00,01,00,01,00,01,00,00,00,,01,199601,12,1728,02,1,1,0,2,03,01,NO,01,01,01,02,02,EDMONTON TR NE & 10 AV NE
96009759,04,2,12,08,DEATH,040,F,,07,00,03,02,02,01,01,00,00,00,,05,199601,15,1745,01,3,1,1,2,01,01,*,00,01,01,02,02,17 AV SW & 37 ST SW
96009759,04,2,12,08,DEATH,040,F,,07,00,03,02,02,01,01,00,00,00,,05,199601,15,1745,01,3,1,1,2,01,01,*,00,01,01,02,02,17 AV SW & 37 ST SW
96009759,04,2,12,08,DEATH,040,F,,07,00,03,02,02,01,01,00,00,00,,05,199601,15,1745,01,3,1,1,2,01,01,*,00,01,01,02,02,17 AV SW & 37 ST SW
96009759,04,2,12,08,DEATH,040,F,,07,00,03,02,02,01,01,00,00,00,,05,199601,15,1745,01,3,1,1,2,01,01,*,00,01,01,02,02,17 AV SW & 37 ST SW
96009759,04,2,12,08,DEATH,040,F,,07,00,03,02,02,01,01,00,00,00,,05,199601,15,1745,01,3,1,1,2,01,01,*,00,01,01,02,02,17 AV SW & 37 ST SW
96009759,04,2,12,08,DEATH,040,F,,07,00,03,02,02,01,01,00,00,00,,05,199601,15,1745,01,3,1,1,2,01,01,*,00,01,01,02,02,17 AV SW & 37 ST SW
96009759,04,2,12,08,DEATH,040,F,,07,00,03,02,02,01,01,00,00,00,,05,199601,15,1745,01,3,1,1,2,01,01,*,00,01,01,02,02,17 AV SW & 37 ST SW
96009759,04,2,12,08,DEATH,040,F,,07,00,03,02,02,01,01,00,00,00,,05,199601,15,1745,01,3,1,1,2,01,01,*,00,01,01,02,02,17 AV SW & 37 ST SW
96009759,04,2,12,08,DEATH,040,F,,07,00,03,02,02,01,01,00,00,00,,05,199601,15,1745,01,3,1,1,2,01,01,*,00,01,01,02,02,17 AV SW & 37 ST SW
96009820,02,2,12,08,MINOR INJURY,031,M,S,07,00,03,01,01,00,01,00,98,02,,01,199601,15,1900,02,1,1,0,1,03,01,NO,01,01,01,02,02,On 8 ST SW between 8 AV SW & 9 AV SW
96010332,01,2,12,08,MINOR INJURY,017,M,,07,00,03,02,01,00,98,00,00,00,,07,199601,16,1720,02,0,1,0,2,03,04,NO,00,01,01,04,01,17 AV SW & 31 ST SW
96010786,01,2,12,08,NO INJURY,015,M,,07,00,01,00,01,00,02,00,00,00,,01,199601,16,1530,03,1,0,0,2,99,99,NO,01,00,01,02,01,ELBOW DR SW & WINDSOR CR SW
96010909,02,2,12,08,MAJOR INJURY,006,F,N,07,00,01,01,00,00,02,00,00,00,,01,199601,17,1615,02,1,1,0,1,03,01,YES,01,01,01,02,01,719 44 AV NW
96011294,02,2,12,08,NO INJURY,011,M,N,07,00,01,01,01,00,01,04,00,00,,01,199601,18,0820,03,1,0,0,1,03,01,NO,01,01,01,02,01,417 14 ST NW
96012451,01,2,12,99,MINOR INJURY,050,F,,07,00,03,02,01,00,02,00,00,00,,01,199601,19,1752,02,1,1,0,2,03,01,NO,01,01,01,02,01,14 ST SW & 17 AV SW
96013749,02,2,12,99,MINOR INJURY,021,M,,07,00,03,02,02,01,01,01,00,00,,01,199601,20,2130,02,1,1,0,1,99,01,NO,01,01,01,01,02,1 ST SW & 12 AV SW
96015545,01,2,12,99,MINOR INJURY,014,F,S,07,00,01,01,01,00,02,00,00,00,,01,199601,24,1240,02,1,1,0,2,03,01,NO,01,01,01,02,02,CHILCOTIN RD NW & NORTHMOUNT DR NW
96016351,02,2,12,08,MINOR INJURY,029,M,,07,00,01,00,02,01,01,00,00,00,,01,199601,25,1506,02,1,1,0,2,01,01,NO,01,01,01,02,02,14 ST SW & 17 AV SW
96017051,02,2,12,08,MINOR INJURY,031,M,,07,00,01,01,02,99,01,00,00,00,,01,199601,26,1415,02,1,1,0,1,03,01,NO,01,01,01,03,02,MACLEOD TR S & 25 AV SW
96017148,02,2,12,08,MINOR INJURY,009,F,E,07,00,01,00,06,01,01,00,00,00,,05,199601,26,1630,02,1,1,0,1,03,01,YES,01,00,01,03,02,26 AV SE & 36 ST SE
96017983,01,2,12,08,MINOR INJURY,028,M,N,07,00,03,02,01,00,98,00,00,00,,03,199601,27,1810,02,1,1,0,2,03,01,NO,00,01,01,03,02,17 AV SE & 35 ST SE
96018331,02,2,12,08,MINOR INJURY,045,F,E,07,00,01,00,02,01,01,00,00,00,,01,199601,28,0950,02,1,1,0,2,03,01,NO,00,01,01,03,02,26 AV NE & 68 ST NE
96018869,01,2,12,08,MINOR INJURY,024,M,,07,00,01,00,01,00,02,00,00,00,,07,199601,29,0815,02,1,1,0,2,03,01,NO,01,01,01,02,01,324 8 AV SW
96019009,02,2,12,08,MINOR INJURY,014,M,,07,00,01,01,06,03,01,00,00,00,,01,199601,29,1125,02,1,1,0,2,03,01,YES,01,01,01,02,02,17 AV SE & 42 ST SE
96019235,02,2,12,98,MINOR INJURY,049,F,,07,00,01,01,06,01,01,00,00,00,,01,199601,29,1625,02,1,1,0,2,03,01,NO,01,01,01,03,02,RICHARDSON LI SW & RICHARDSON WY SW
96020388,02,2,12,08,MINOR INJURY,063,F,,07,00,01,01,06,01,01,00,00,00,,01,199601,31,0830,02,1,1,0,2,03,04,NO,01,01,01,02,02,PENSACOLA WY SE & 8 AV SE
96020738,01,2,12,08,NO INJURY,018,F,N,07,00,01,01,01,00,98,00,00,00,,01,199601,31,1100,03,1,0,0,1,03,01,YES,00,01,01,02,02,GLAMORGAN WY SW & 40 AV SW
96020799,01,2,12,08,MINOR INJURY,006,M,,07,00,01,00,01,00,02,00,00,00,,01,199601,31,1542,02,1,1,0,2,03,98,NO,01,02,01,02,01,KOREA AV SW & 37 ST SW
96021699,01,2,12,08,MINOR INJURY,028,M,,07,00,01,01,01,00,02,00,00,00,,01,199602,01,1130,02,1,1,0,2,03,01,NO,00,00,00,00,08,On 4 ST SW between 23 AV SW & 24 AV SW
96022082,03,2,12,08,MINOR INJURY,023,M,,07,00,01,01,01,00,03,00,00,00,,01,199602,02,0915,02,2,1,0,2,03,01,YES,01,02,01,04,01,6400 OLD BANFF COACH RD SW
96022082,03,2,12,08,MINOR INJURY,023,M,,07,00,01,01,01,00,03,00,00,00,,01,199602,02,0915,02,2,1,0,2,03,01,YES,01,02,01,04,01,6400 OLD BANFF COACH RD SW
96022082,03,2,12,08,MINOR INJURY,023,M,,07,00,01,01,01,00,03,00,00,00,,01,199602,02,0915,02,2,1,0,2,03,01,YES,01,02,01,04,01,6400 OLD BANFF COACH RD SW
96022082,03,2,12,08,MINOR INJURY,023,M,,07,00,01,01,01,00,03,00,00,00,,01,199602,02,0915,02,2,1,0,2,03,01,YES,01,02,01,04,01,6400 OLD BANFF COACH RD SW
96022252,02,2,12,08,MAJOR INJURY,015,F,,07,00,01,00,06,01,01,00,00,00,,01,199602,02,1403,02,1,1,0,2,03,01,YES,01,01,01,02,02,TRAFFORD DR NW & 4 ST NW
96022320,02,2,12,08,MINOR INJURY,014,M,E,07,00,01,01,01,00,02,00,00,00,,01,199602,02,1520,02,1,1,0,2,03,01,NO,01,01,01,01,01,BOW TR SW & 39 ST SW
96022964,02,2,12,08,MINOR INJURY,032,F,,07,00,01,00,06,01,01,00,00,00,,01,199602,01,1030,02,1,1,0,2,03,01,YES,01,00,00,00,02,7 ST SW & 9 AV SW
96023321,01,2,12,08,MINOR INJURY,044,F,,07,00,03,02,01,00,02,00,00,00,,01,199602,03,2135,02,1,1,0,2,03,01,NO,01,02,01,02,01,On 26 AV SW between 16 ST SW & 17 ST SW
96024500,02,2,12,08,MINOR INJURY,084,M,,07,00,02,01,06,01,98,00,00,00,,01,199602,05,1640,02,1,1,0,2,02,01,NO,01,01,01,02,02,NORTHMOUNT DR NW & 4 ST NW
96024513,02,2,12,08,NO INJURY,019,M,N,07,00,01,01,01,00,98,00,00,00,,01,199602,05,1600,03,1,0,0,1,02,01,NO,09,01,01,08,08,7930 BOWNESS RD NW
96025472,02,2,12,08,MINOR INJURY,014,M,,07,00,01,02,02,01,01,00,00,00,,01,199602,06,1616,02,1,1,0,2,01,01,NO,01,01,01,03,02,BRAESIDE DR SW & 24 ST SW
96025852,02,2,12,08,MINOR INJURY,014,F,,07,00,01,01,01,00,02,00,00,00,,01,199602,07,1215,02,1,1,0,2,03,01,NO,01,01,01,02,01,39 FALWORTH CO NE
96025970,02,2,12,98,NO INJURY,007,F,,07,00,01,01,01,00,02,00,00,00,,01,199602,07,1535,03,1,0,0,2,03,01,NO,01,01,01,02,01,1520 39 ST SE
96026440,01,2,12,08,MINOR INJURY,058,F,S,07,00,03,02,01,00,02,00,00,00,,01,199602,08,0730,02,1,1,0,2,02,01,NO,01,01,01,01,01,133 9 AV SW
96026443,02,2,12,08,MINOR INJURY,027,F,,07,00,01,01,02,01,01,01,00,00,,01,199602,08,0800,02,1,1,0,1,01,01,NO,01,01,01,01,02,4 AV SW & 7 ST SW
96026587,02,2,12,08,NO INJURY,046,F,,07,00,03,02,01,00,98,00,00,00,,01,199602,05,1815,03,1,0,0,2,04,01,NO,01,01,01,08,08,4602 17 AV SE
96026918,01,2,12,08,DEATH,032,M,S,07,00,03,02,01,00,02,00,00,00,,01,199602,08,1945,01,1,0,1,2,02,01,YES,00,01,02,03,01,600 MEMORIAL DR E
96027365,02,2,12,08,MINOR INJURY,018,F,,07,00,01,00,02,01,01,00,00,00,,07,199602,09,1200,02,1,1,0,2,03,04,NO,01,01,01,03,02,14 ST SW & 75 AV SW
96028469,02,2,12,08,MINOR INJURY,018,F,E,07,00,03,02,01,00,01,04,00,00,,01,199602,10,2130,02,1,1,0,1,03,01,NO,01,01,01,02,01,8330 MACLEOD TR S
96028720,02,2,12,98,MINOR INJURY,027,F,,07,00,01,00,06,01,01,00,00,00,,07,199602,10,0815,02,1,1,0,2,99,99,NO,01,01,01,04,02,GLAMIS DR SW & 51 ST SW
96029640,02,2,12,08,MINOR INJURY,061,M,,07,00,01,01,06,01,01,00,00,00,,01,199602,12,1630,02,1,1,0,2,03,01,NO,01,01,01,02,02,18 ST SE & 76 AV SE
96029646,01,2,12,08,MAJOR INJURY,035,M,,07,00,01,01,01,00,98,00,00,00,,07,199602,12,1630,02,2,1,0,2,01,01,NO,00,01,01,03,01,DEERFOOT TR NE & 8 AV NE
96029646,01,2,12,08,MAJOR INJURY,035,M,,07,00,01,01,01,00,98,00,00,00,,07,199602,12,1630,02,2,1,0,2,01,01,NO,00,01,01,03,01,DEERFOOT TR NE & 8 AV NE
96029646,01,2,12,08,MAJOR INJURY,035,M,,07,00,01,01,01,00,98,00,00,00,,07,199602,12,1630,02,2,1,0,2,01,01,NO,00,01,01,03,01,DEERFOOT TR NE & 8 AV NE
96029646,01,2,12,08,MAJOR INJURY,035,M,,07,00,01,01,01,00,98,00,00,00,,07,199602,12,1630,02,2,1,0,2,01,01,NO,00,01,01,03,01,DEERFOOT TR NE & 8 AV NE
96029770,01,2,12,08,MINOR INJURY,014,F,,07,00,02,00,02,01,02,00,00,00,,01,199602,12,1905,02,1,1,0,2,01,01,NO,01,02,01,03,02,NOSE HILL DR NW & RANCHLANDS BV NW
96030382,02,2,12,08,MINOR INJURY,008,M,E,07,00,01,01,06,01,01,00,00,00,,01,199602,13,1605,02,1,1,0,2,02,01,NO,01,00,00,00,02,CENTRE ST N & 32 AV NE
96031179,01,2,12,08,MINOR INJURY,020,F,E,07,00,01,00,06,01,01,00,00,00,,01,199602,14,1602,02,1,1,0,2,02,01,NO,00,01,01,02,01,TEMPLE DR NE & 52 ST NE
96031228,02,2,12,99,MINOR INJURY,007,M,N,07,00,01,01,01,00,03,00,00,00,,07,199602,14,1705,02,1,1,0,2,02,01,NO,00,01,01,02,01,26 AV SE & 36 ST SE
96031558,02,2,12,08,NO INJURY,039,M,,07,00,03,02,01,00,03,00,00,00,,01,199602,15,0240,03,1,0,0,2,01,01,NO,00,01,01,02,01,14 ST SW & 25 AV SW
96031813,02,2,12,99,NO INJURY,025,M,,07,00,01,01,01,00,03,00,00,00,,01,199602,15,1255,03,1,0,0,2,01,01,NO,09,01,01,08,01,5003 CENTRE ST N
96031944,02,2,12,08,MAJOR INJURY,009,M,S,07,00,01,01,01,00,02,00,00,00,,01,199602,15,1533,02,1,1,0,2,01,01,NO,01,01,01,02,01,17 AV SW & 32 ST SW
96032095,02,2,12,08,MINOR INJURY,020,F,,07,00,03,99,99,99,03,00,00,00,,01,199602,15,1937,02,1,1,0,2,01,01,*,01,00,00,00,09,1410 OLYMPIC WY SE
96032438,02,2,12,08,MINOR INJURY,073,M,,07,00,01,00,06,01,01,00,00,00,,01,199602,16,0900,02,1,1,0,2,01,01,NO,01,02,01,03,02,NORTHMOUNT DR NW & 14 ST NW
96032547,02,2,12,08,MINOR INJURY,028,M,N,07,00,01,01,02,01,01,00,00,00,,03,199602,16,1138,02,1,1,0,2,01,01,NO,01,01,01,02,02,CENTRE ST S & 2 AV SE
96032835,02,2,12,99,MINOR INJURY,032,M,,07,00,01,01,06,99,01,00,00,00,,01,199602,16,1645,02,1,1,0,2,03,01,NO,00,01,01,01,02,2 AV NW & 9A ST NW
96035226,02,2,12,08,MINOR INJURY,041,M,,07,00,03,01,01,00,98,00,00,00,,07,199602,09,2315,02,1,1,0,1,03,01,NO,00,02,01,09,01,BOW BOTTOM TR SE & MARQUIS OF LORNE TR SE
96035540,02,2,12,08,NO INJURY,041,M,,07,00,00,00,00,00,04,00,00,00,,01,199602,20,1520,03,1,0,0,1,02,01,NO,01,01,01,09,01,633 CENTRE ST S
96035901,01,2,12,08,MAJOR INJURY,024,F,,07,00,03,99,01,00,02,00,00,00,,01,199602,21,0027,02,1,1,0,2,01,01,YES,01,03,01,02,02,17A ST SW & 26 AV SW
96036631,01,2,12,08,MINOR INJURY,036,M,S,07,00,03,02,02,01,02,00,00,00,,01,199602,21,2250,02,1,1,0,2,01,01,*,01,01,01,01,02,4 ST SE & 9 AV SE
96037867,02,2,12,08,MAJOR INJURY,051,M,W,07,00,01,00,01,00,01,00,00,00,,01,199602,23,1700,02,1,1,0,2,01,01,NO,01,01,01,02,02,CENTRE ST N & 14 AV NE
96038774,03,2,12,08,MINOR INJURY,040,F,,07,00,03,02,06,01,98,00,00,00,,03,199602,24,2235,02,2,2,0,2,03,04,YES,01,01,01,01,02,MACLEOD TR S & 9 AV SW
96038774,03,2,12,08,MINOR INJURY,040,F,,07,00,03,02,06,01,98,00,00,00,,03,199602,24,2235,02,2,2,0,2,03,04,YES,01,01,01,01,02,MACLEOD TR S & 9 AV SW
96038774,03,2,12,08,MINOR INJURY,040,F,,07,00,03,02,06,01,98,00,00,00,,03,199602,24,2235,02,2,2,0,2,03,04,YES,01,01,01,01,02,MACLEOD TR S & 9 AV SW
96038774,03,2,12,08,MINOR INJURY,040,F,,07,00,03,02,06,01,98,00,00,00,,03,199602,24,2235,02,2,2,0,2,03,04,YES,01,01,01,01,02,MACLEOD TR S & 9 AV SW
96038774,04,2,12,08,MAJOR INJURY,037,F,,07,00,03,02,06,01,98,00,00,00,,03,199602,24,2235,02,2,2,0,2,03,04,YES,01,01,01,01,02,MACLEOD TR S & 9 AV SW
96038774,04,2,12,08,MAJOR INJURY,037,F,,07,00,03,02,06,01,98,00,00,00,,03,199602,24,2235,02,2,2,0,2,03,04,YES,01,01,01,01,02,MACLEOD TR S & 9 AV SW
96038774,04,2,12,08,MAJOR INJURY,037,F,,07,00,03,02,06,01,98,00,00,00,,03,199602,24,2235,02,2,2,0,2,03,04,YES,01,01,01,01,02,MACLEOD TR S & 9 AV SW
96038774,04,2,12,08,MAJOR INJURY,037,F,,07,00,03,02,06,01,98,00,00,00,,03,199602,24,2235,02,2,2,0,2,03,04,YES,01,01,01,01,02,MACLEOD TR S & 9 AV SW
96038774,04,2,12,08,MAJOR INJURY,037,F,,07,00,03,02,06,01,98,00,00,00,,03,199602,24,2235,02,2,2,0,2,03,04,YES,01,01,01,01,02,MACLEOD TR S & 9 AV SW
96038774,04,2,12,08,MAJOR INJURY,037,F,,07,00,03,02,06,01,98,00,00,00,,03,199602,24,2235,02,2,2,0,2,03,04,YES,01,01,01,01,02,MACLEOD TR S & 9 AV SW
96038774,04,2,12,08,MAJOR INJURY,037,F,,07,00,03,02,06,01,98,00,00,00,,03,199602,24,2235,02,2,2,0,2,03,04,YES,01,01,01,01,02,MACLEOD TR S & 9 AV SW
96038774,04,2,12,08,MAJOR INJURY,037,F,,07,00,03,02,06,01,98,00,00,00,,03,199602,24,2235,02,2,2,0,2,03,04,YES,01,01,01,01,02,MACLEOD TR S & 9 AV SW
96038774,03,2,12,08,MINOR INJURY,040,F,,07,00,03,02,06,01,98,00,00,00,,03,199602,24,2235,02,2,2,0,2,03,04,YES,01,01,01,01,02,MACLEOD TR S & 9 AV SW
96038774,03,2,12,08,MINOR INJURY,040,F,,07,00,03,02,06,01,98,00,00,00,,03,199602,24,2235,02,2,2,0,2,03,04,YES,01,01,01,01,02,MACLEOD TR S & 9 AV SW
96038774,03,2,12,08,MINOR INJURY,040,F,,07,00,03,02,06,01,98,00,00,00,,03,199602,24,2235,02,2,2,0,2,03,04,YES,01,01,01,01,02,MACLEOD TR S & 9 AV SW
96038774,03,2,12,08,MINOR INJURY,040,F,,07,00,03,02,06,01,98,00,00,00,,03,199602,24,2235,02,2,2,0,2,03,04,YES,01,01,01,01,02,MACLEOD TR S & 9 AV SW
96039423,01,2,12,08,MINOR INJURY,048,F,,07,00,01,01,02,01,02,00,00,00,,01,199602,25,0715,02,1,1,0,2,03,01,NO,01,01,01,01,02,MACLEOD TR S & 6 AV SW
96039744,01,2,12,99,MAJOR INJURY,015,M,,07,00,01,01,01,00,04,00,00,00,,07,199602,26,1608,02,1,1,0,2,03,01,NO,01,00,01,01,09,BEDDINGTON BV NW & BERWICK DR NW
96040033,02,2,12,08,MINOR INJURY,020,M,,07,00,00,00,01,00,98,00,00,00,,01,199602,27,0230,02,1,1,0,1,03,04,NO,01,01,01,03,01,SUNRIDGE BV NE
96040180,03,2,12,08,MINOR INJURY,052,M,,07,00,01,01,01,00,98,00,00,00,,01,199602,27,1100,02,2,1,0,2,01,01,NO,01,01,01,01,01,On 8 AV SW between 5 ST SW & 6 ST SW
96040180,03,2,12,08,MINOR INJURY,052,M,,07,00,01,01,01,00,98,00,00,00,,01,199602,27,1100,02,2,1,0,2,01,01,NO,01,01,01,01,01,On 8 AV SW between 5 ST SW & 6 ST SW
96040180,03,2,12,08,MINOR INJURY,052,M,,07,00,01,01,01,00,98,00,00,00,,01,199602,27,1100,02,2,1,0,2,01,01,NO,01,01,01,01,01,On 8 AV SW between 5 ST SW & 6 ST SW
96040180,03,2,12,08,MINOR INJURY,052,M,,07,00,01,01,01,00,98,00,00,00,,01,199602,27,1100,02,2,1,0,2,01,01,NO,01,01,01,01,01,On 8 AV SW between 5 ST SW & 6 ST SW
96040412,02,2,12,08,MINOR INJURY,006,F,,07,00,01,00,01,00,02,00,00,00,,01,199602,27,1535,02,1,1,0,2,03,01,*,01,01,01,02,01,180 FALSHIRE DR NE
96041662,03,2,12,08,MINOR INJURY,034,F,,07,00,01,00,01,00,98,00,00,00,,01,199602,29,1358,02,2,1,0,2,03,01,NO,09,02,01,09,01,7475 FLINT RD SE
96041662,03,2,12,08,MINOR INJURY,034,F,,07,00,01,00,01,00,98,00,00,00,,01,199602,29,1358,02,2,1,0,2,03,01,NO,09,02,01,09,01,7475 FLINT RD SE
96041662,03,2,12,08,MINOR INJURY,034,F,,07,00,01,00,01,00,98,00,00,00,,01,199602,29,1358,02,2,1,0,2,03,01,NO,09,02,01,09,01,7475 FLINT RD SE
96041662,03,2,12,08,MINOR INJURY,034,F,,07,00,01,00,01,00,98,00,00,00,,01,199602,29,1358,02,2,1,0,2,03,01,NO,09,02,01,09,01,7475 FLINT RD SE
96042218,01,2,12,08,MINOR INJURY,010,M,,07,00,01,00,01,00,02,00,00,00,,01,199603,01,0840,02,1,1,0,2,03,01,NO,01,01,01,02,01,330 FALCONRIDGE CR NE
96042556,02,2,12,08,MINOR INJURY,006,M,N,07,00,01,01,01,00,02,00,00,00,,01,199603,01,1650,02,1,1,0,2,01,01,NO,01,01,01,02,01,5415 8 AV SE
96043610,02,2,12,08,MINOR INJURY,028,M,,07,00,03,02,01,00,98,00,00,00,,01,199603,02,2110,02,2,1,0,2,03,04,NO,01,01,01,08,01,4528 BOW TR SW
96043610,02,2,12,08,MINOR INJURY,028,M,,07,00,03,02,01,00,98,00,00,00,,01,199603,02,2110,02,2,1,0,2,03,04,NO,01,01,01,08,01,4528 BOW TR SW
96043610,02,2,12,08,MINOR INJURY,028,M,,07,00,03,02,01,00,98,00,00,00,,01,199603,02,2110,02,2,1,0,2,03,04,NO,01,01,01,08,01,4528 BOW TR SW
96043610,02,2,12,08,MINOR INJURY,028,M,,07,00,03,02,01,00,98,00,00,00,,01,199603,02,2110,02,2,1,0,2,03,04,NO,01,01,01,08,01,4528 BOW TR SW
96043657,02,2,12,08,MINOR INJURY,039,M,,07,00,03,02,01,00,98,00,00,00,,01,199603,02,2200,02,1,1,0,2,03,04,NO,01,01,01,01,01,2000 AIRPORT RD NE
96043669,03,2,12,08,NO INJURY,013,M,N,07,00,03,02,06,03,01,00,00,00,,01,199603,02,2220,02,1,1,0,2,03,04,NO,01,01,01,01,02,17 AV SE & 38 ST SE
96043669,03,2,12,08,NO INJURY,013,M,N,07,00,03,02,06,03,01,00,00,00,,01,199603,02,2220,02,1,1,0,2,03,04,NO,01,01,01,01,02,17 AV SE & 38 ST SE
96043669,02,2,12,08,MINOR INJURY,014,M,N,07,00,03,02,06,03,01,00,00,00,,01,199603,02,2220,02,1,1,0,2,03,04,NO,01,01,01,01,02,17 AV SE & 38 ST SE
96043669,02,2,12,08,MINOR INJURY,014,M,N,07,00,03,02,06,03,01,00,00,00,,01,199603,02,2220,02,1,1,0,2,03,04,NO,01,01,01,01,02,17 AV SE & 38 ST SE
96044526,02,2,12,08,MINOR INJURY,050,F,S,07,00,01,00,02,01,01,00,00,00,,01,199602,27,0800,02,1,1,0,1,99,99,NO,01,01,01,01,02,5 AV SW & 7 ST SW
